row_id,record_type,participantId,age,gender,deviceMode,deviceUsed,block,trialInBlock,globalTrialIndex,startX,startY,targetX,targetY,clickX,clickY,amplitude,targetWidth,movementTimeMs,ID_Shannon,TP_bitsPerSec,hit,local_timestamp_KL,n_trials,avg_movementTimeMs,avg_TP_bitsPerSec,error_rate_percent
1,trial,C05,8,Male,mouse,mouse,1,1,1,720,373,305.04,179.82,287,165,457.72,45,1228,3.4818,2.8353,0,"05/09/2025, 11:33:05",,,,
2,trial,C05,8,Male,mouse,mouse,1,2,2,305.04,179.82,754.16,590.18,751,592,608.35,30,1181,4.4113,3.7352,1,"05/09/2025, 11:33:08",,,,
3,trial,C05,8,Male,mouse,mouse,1,3,3,754.16,590.18,327.46,558.12,338,545,427.89,60,1083,3.0235,2.7918,1,"05/09/2025, 11:33:10",,,,
4,trial,C05,8,Male,mouse,mouse,1,4,4,327.46,558.12,392.04,314.97,396,304,251.58,45,833,2.7204,3.2658,1,"05/09/2025, 11:33:13",,,,
5,trial,C05,8,Male,mouse,mouse,1,5,5,392.04,314.97,1153.8,363.26,1161,351,763.29,45,1116,4.1669,3.7338,1,"05/09/2025, 11:33:16",,,,
6,trial,C05,8,Male,mouse,mouse,1,6,6,1153.8,363.26,1345.05,666.58,1337,658,358.58,30,967,3.6952,3.8213,1,"05/09/2025, 11:33:18",,,,
7,trial,C05,8,Male,mouse,mouse,1,7,7,1345.05,666.58,1344.48,144.28,1352,140,522.3,60,899,3.2787,3.6471,1,"05/09/2025, 11:33:21",,,,
8,trial,C05,8,Male,mouse,mouse,1,8,8,1344.48,144.28,86.31,699.83,85,700,1375.37,30,1217,5.5498,4.5603,1,"05/09/2025, 11:33:24",,,,
9,trial,C05,8,Male,mouse,mouse,1,9,9,86.31,699.83,1005.36,531.51,1011,521,934.34,45,949,4.4438,4.6826,1,"05/09/2025, 11:33:26",,,,
10,trial,C05,8,Male,mouse,mouse,1,10,10,1005.36,531.51,769.05,179.05,769,179,424.35,45,733,3.3827,4.6148,1,"05/09/2025, 11:33:29",,,,
11,trial,C05,8,Male,mouse,mouse,2,1,11,769.05,179.05,891.52,232.93,887,230,133.8,60,949,1.6915,1.7824,1,"05/09/2025, 11:33:32",,,,
12,trial,C05,8,Male,mouse,mouse,2,2,12,891.52,232.93,1300.48,295.86,1293,301,413.77,45,1049,3.3498,3.1933,1,"05/09/2025, 11:33:34",,,,
13,trial,C05,8,Male,mouse,mouse,2,3,13,1300.48,295.86,596.44,678.1,592,674,801.11,45,1216,4.2328,3.481,1,"05/09/2025, 11:33:37",,,,
14,trial,C05,8,Male,mouse,mouse,2,4,14,596.44,678.1,458.76,456.47,444,453,260.92,45,949,2.7652,2.9138,1,"05/09/2025, 11:33:40",,,,
15,trial,C05,8,Male,mouse,mouse,2,5,15,458.76,456.47,983.99,534.58,989,536,531.01,30,933,4.225,4.5284,1,"05/09/2025, 11:33:42",,,,
16,trial,C05,8,Male,mouse,mouse,2,6,16,983.99,534.58,267.43,432.36,276,422,723.82,60,1083,3.7075,3.4233,1,"05/09/2025, 11:33:45",,,,
17,trial,C05,8,Male,mouse,mouse,2,7,17,267.43,432.36,849.28,234.34,851,233,614.62,45,1066,3.8736,3.6338,1,"05/09/2025, 11:33:48",,,,
18,trial,C05,8,Male,mouse,mouse,2,8,18,849.28,234.34,1328.5,406.47,1328,396,509.19,45,1167,3.6224,3.104,1,"05/09/2025, 11:33:50",,,,
19,trial,C05,8,Male,mouse,mouse,2,9,19,1328.5,406.47,1312.3,367.37,1303,370,42.32,30,1035,1.2695,1.2266,1,"05/09/2025, 11:33:53",,,,
20,trial,C05,8,Male,mouse,mouse,2,10,20,1312.3,367.37,387.62,477.48,368,471,931.21,60,961,4.0462,4.2104,1,"05/09/2025, 11:33:56",,,,
21,summary,C05,8,Male,mouse,mouse,,,,,,,,,,,,,,,,,20,1030.7,3.4592,5
22,summary,C05,8,Male,mouse,ALL,,,,,,,,,,,,,,,,,20,1030.7,3.4592,5